STT,ID Nhà cung cấp,Tên công ty,Email,Điện thoại,Tỷ lệ hoa hồng (%),Số lượng booking,Tổng số tiền cần thanh toán (VND),Ghi chú
1,1,"Vietnam Adventures Co.","supplier@example.com","+84 902345678",15,381,"2,340,818,089,113","Tổng số tiền cần thanh toán cho 381 booking(s)"
2,2,"avdb","customer3@example.com","+84 905678908",15,175,"1,792,454,713","Tổng số tiền cần thanh toán cho 175 booking(s)"
3,3,"Blue Sky Travel Agency","supplier01@example.com","+84 902234001",19.14,131,"1,190,321,664","Tổng số tiền cần thanh toán cho 131 booking(s)"
4,4,"Explore Vietnam Travel","supplier02@example.com","+84 902234002",16.32,142,"1,379,395,346","Tổng số tiền cần thanh toán cho 142 booking(s)"
5,5,"Luxury Travel Experience","supplier03@example.com","+84 902234003",11.59,137,"1,537,090,734","Tổng số tiền cần thanh toán cho 137 booking(s)"
6,6,"Beach Paradise Travel","supplier04@example.com","+84 902234004",15,154,"1,110,160,138","Tổng số tiền cần thanh toán cho 154 booking(s)"
7,7,"Mountain View Tours","supplier05@example.com","+84 902234005",15.06,167,"1,641,234,251","Tổng số tiền cần thanh toán cho 167 booking(s)"
8,8,"Golden Gate Adventures","supplier06@example.com","+84 902234006",13.7,147,"1,561,137,011","Tổng số tiền cần thanh toán cho 147 booking(s)"
9,9,"Beach Paradise Travel","supplier07@example.com","+84 902234007",15.22,134,"1,175,304,292","Tổng số tiền cần thanh toán cho 134 booking(s)"
10,10,"Adventure Tours Co.","supplier08@example.com","+84 902234008",11.16,162,"1,597,516,882","Tổng số tiền cần thanh toán cho 162 booking(s)"
11,11,"Adventure Tours Co.","supplier09@example.com","+84 902234009",15.79,152,"1,617,926,309","Tổng số tiền cần thanh toán cho 152 booking(s)"
12,12,"Luxury Travel Experience","supplier10@example.com","+84 902234010",11.55,163,"1,501,645,723","Tổng số tiền cần thanh toán cho 163 booking(s)"
13,13,"Beach Paradise Travel","supplier11@example.com","+84 902234011",18.54,133,"1,340,757,268","Tổng số tiền cần thanh toán cho 133 booking(s)"
14,14,"Golden Gate Adventures","supplier12@example.com","+84 902234012",18.87,145,"1,557,651,987","Tổng số tiền cần thanh toán cho 145 booking(s)"
15,15,"Ocean Breeze Adventures","supplier13@example.com","+84 902234013",16.8,183,"2,062,837,296","Tổng số tiền cần thanh toán cho 183 booking(s)"
16,16,"Mystic Journey Tours","supplier14@example.com","+84 902234014",14.89,174,"1,794,737,124","Tổng số tiền cần thanh toán cho 174 booking(s)"
17,17,"Beach Paradise Travel","supplier15@example.com","+84 902234015",10.68,168,"1,787,703,625","Tổng số tiền cần thanh toán cho 168 booking(s)"

TỔNG CỘNG,,,,,2848 booking(s),"2,365,465,963,475","Tổng số tiền cần thanh toán cho tất cả nhà cung cấp"

CHI TIẾT TỪNG BOOKING
STT,ID Nhà cung cấp,Tên công ty,Booking ID,Booking Ref,Tổng tiền booking (VND),Số tiền cần thanh toán (VND)
695,4,"Explore Vietnam Travel",1463,"BK00001146","3,922,500","3,282,348"
696,4,"Explore Vietnam Travel",3057,"BK00002740","5,156,500","4,314,959"
697,4,"Explore Vietnam Travel",1079,"BK00000762","13,965,500","11,686,330"
698,4,"Explore Vietnam Travel",2430,"BK00002113","1,271,000","1,063,573"
699,4,"Explore Vietnam Travel",1918,"BK00001601","17,750,500","14,853,618"
700,4,"Explore Vietnam Travel",2019,"BK00001702","15,408,750","12,894,042"
701,4,"Explore Vietnam Travel",2042,"BK00001725","9,388,000","7,855,878"
702,4,"Explore Vietnam Travel",770,"BK00000453","11,207,000","9,378,018"
703,4,"Explore Vietnam Travel",2330,"BK00002013","16,458,000","13,772,054"
704,4,"Explore Vietnam Travel",1301,"BK00000984","4,419,000","3,697,819"
705,4,"Explore Vietnam Travel",1302,"BK00000985","2,300,250","1,924,849"
706,4,"Explore Vietnam Travel",1444,"BK00001127","1,271,000","1,063,573"
707,4,"Explore Vietnam Travel",337,"BK00000020","12,863,500","10,764,177"
708,4,"Explore Vietnam Travel",854,"BK00000537","1,850,250","1,548,289"
709,4,"Explore Vietnam Travel",1304,"BK00000987","10,272,500","8,596,028"
710,4,"Explore Vietnam Travel",3078,"BK00002761","27,606,000","23,100,701"
711,4,"Explore Vietnam Travel",2070,"BK00001753","13,038,500","10,910,617"
712,4,"Explore Vietnam Travel",1306,"BK00000989","21,711,250","18,167,974"
713,4,"Explore Vietnam Travel",1228,"BK00000911","16,458,000","13,772,054"
714,4,"Explore Vietnam Travel",2839,"BK00002522","3,588,000","3,002,438"
715,4,"Explore Vietnam Travel",2080,"BK00001763","6,812,500","5,700,700"
716,4,"Explore Vietnam Travel",947,"BK00000630","766,750","641,616"
717,4,"Explore Vietnam Travel",3052,"BK00002735","12,301,500","10,293,895"
718,4,"Explore Vietnam Travel",1433,"BK00001116","3,833,750","3,208,082"
719,4,"Explore Vietnam Travel",1331,"BK00001014","12,343,500","10,329,041"
720,4,"Explore Vietnam Travel",2821,"BK00002504","1,642,750","1,374,653"
721,4,"Explore Vietnam Travel",2294,"BK00001977","1,271,000","1,063,573"
722,4,"Explore Vietnam Travel",2089,"BK00001772","35,070,000","29,346,576"
723,4,"Explore Vietnam Travel",2290,"BK00001973","8,684,500","7,267,190"
724,4,"Explore Vietnam Travel",1428,"BK00001111","12,343,500","10,329,041"
725,4,"Explore Vietnam Travel",3115,"BK00002798","5,862,500","4,905,740"
726,4,"Explore Vietnam Travel",2799,"BK00002482","23,450,000","19,622,960"
727,4,"Explore Vietnam Travel",3192,"BK00002875","21,102,000","17,658,154"
728,4,"Explore Vietnam Travel",1365,"BK00001048","7,041,000","5,891,909"
729,4,"Explore Vietnam Travel",2501,"BK00002184","14,510,000","12,141,968"
730,4,"Explore Vietnam Travel",2789,"BK00002472","12,863,500","10,764,177"
731,4,"Explore Vietnam Travel",1913,"BK00001596","14,916,250","12,481,918"
732,4,"Explore Vietnam Travel",865,"BK00000548","22,446,000","18,782,813"
733,4,"Explore Vietnam Travel",508,"BK00000191","25,710,000","21,514,128"
734,4,"Explore Vietnam Travel",2405,"BK00002088","635,500","531,786"
735,4,"Explore Vietnam Travel",2257,"BK00001940","6,346,000","5,310,333"
736,4,"Explore Vietnam Travel",598,"BK00000281","16,327,000","13,662,434"
737,4,"Explore Vietnam Travel",3179,"BK00002862","8,151,000","6,820,757"
738,4,"Explore Vietnam Travel",1506,"BK00001189","12,926,750","10,817,104"
739,4,"Explore Vietnam Travel",2261,"BK00001944","13,868,000","11,604,742"
740,4,"Explore Vietnam Travel",1235,"BK00000918","5,156,500","4,314,959"
741,4,"Explore Vietnam Travel",716,"BK00000399","8,949,750","7,489,151"
742,4,"Explore Vietnam Travel",2394,"BK00002077","16,502,000","13,808,874"
743,4,"Explore Vietnam Travel",1811,"BK00001494","6,841,000","5,724,549"
744,4,"Explore Vietnam Travel",2459,"BK00002142","17,587,500","14,717,220"
745,4,"Explore Vietnam Travel",1864,"BK00001547","2,983,250","2,496,384"
746,4,"Explore Vietnam Travel",3273,"BK00002956","12,343,500","10,329,041"
747,4,"Explore Vietnam Travel",3272,"BK00002955","8,213,750","6,873,266"
748,4,"Explore Vietnam Travel",1419,"BK00001102","3,337,000","2,792,402"
749,4,"Explore Vietnam Travel",1489,"BK00001172","8,229,000","6,886,027"
750,4,"Explore Vietnam Travel",656,"BK00000339","8,213,750","6,873,266"
751,4,"Explore Vietnam Travel",2732,"BK00002415","2,877,500","2,407,892"
752,4,"Explore Vietnam Travel",1577,"BK00001260","17,335,500","14,506,346"
753,4,"Explore Vietnam Travel",2206,"BK00001889","3,406,250","2,850,350"
754,4,"Explore Vietnam Travel",1360,"BK00001043","17,319,000","14,492,539"
755,4,"Explore Vietnam Travel",3099,"BK00002782","1,850,250","1,548,289"
756,4,"Explore Vietnam Travel",1143,"BK00000826","7,332,000","6,135,418"
757,4,"Explore Vietnam Travel",1530,"BK00001213","11,664,000","9,760,435"
758,4,"Explore Vietnam Travel",426,"BK00000109","5,005,500","4,188,602"
759,4,"Explore Vietnam Travel",756,"BK00000439","29,803,000","24,939,150"
760,4,"Explore Vietnam Travel",1026,"BK00000709","3,067,000","2,566,466"
761,4,"Explore Vietnam Travel",660,"BK00000343","2,142,000","1,792,426"
762,4,"Explore Vietnam Travel",3292,"BK00002975","4,930,000","4,125,424"
763,4,"Explore Vietnam Travel",589,"BK00000272","8,342,500","6,981,004"
764,4,"Explore Vietnam Travel",1720,"BK00001403","10,313,000","8,629,918"
765,4,"Explore Vietnam Travel",2374,"BK00002057","5,156,500","4,314,959"
766,4,"Explore Vietnam Travel",2691,"BK00002374","10,272,500","8,596,028"
767,4,"Explore Vietnam Travel",2690,"BK00002373","19,307,750","16,156,725"
768,4,"Explore Vietnam Travel",2209,"BK00001892","8,342,500","6,981,004"
769,4,"Explore Vietnam Travel",3000,"BK00002683","12,376,500","10,356,655"
770,4,"Explore Vietnam Travel",705,"BK00000388","1,642,750","1,374,653"
771,4,"Explore Vietnam Travel",466,"BK00000149","13,425,000","11,234,040"
772,4,"Explore Vietnam Travel",392,"BK00000075","1,271,000","1,063,573"
773,4,"Explore Vietnam Travel",1392,"BK00001075","7,776,000","6,506,957"
774,4,"Explore Vietnam Travel",1893,"BK00001576","28,595,000","23,928,296"
775,4,"Explore Vietnam Travel",1781,"BK00001464","20,708,000","17,328,454"
776,4,"Explore Vietnam Travel",2186,"BK00001869","5,156,500","4,314,959"
777,4,"Explore Vietnam Travel",1697,"BK00001380","29,603,000","24,771,790"
778,4,"Explore Vietnam Travel",1916,"BK00001599","6,058,500","5,069,753"
779,4,"Explore Vietnam Travel",836,"BK00000519","6,449,000","5,396,523"
780,4,"Explore Vietnam Travel",1277,"BK00000960","1,668,500","1,396,201"
781,4,"Explore Vietnam Travel",515,"BK00000198","11,664,000","9,760,435"
782,4,"Explore Vietnam Travel",2141,"BK00001824","5,136,250","4,298,014"
783,4,"Explore Vietnam Travel",972,"BK00000655","13,965,500","11,686,330"
784,4,"Explore Vietnam Travel",335,"BK00000018","8,229,000","6,886,027"
785,4,"Explore Vietnam Travel",2644,"BK00002327","14,510,000","12,141,968"
786,4,"Explore Vietnam Travel",2218,"BK00001901","34,688,750","29,027,546"
787,4,"Explore Vietnam Travel",1803,"BK00001486","7,034,000","5,886,051"
788,4,"Explore Vietnam Travel",851,"BK00000534","7,776,000","6,506,957"
789,4,"Explore Vietnam Travel",3252,"BK00002935","2,578,250","2,157,480"
790,4,"Explore Vietnam Travel",1179,"BK00000862","14,241,750","11,917,496"
791,4,"Explore Vietnam Travel",2628,"BK00002311","18,989,000","15,889,995"
792,4,"Explore Vietnam Travel",2224,"BK00001907","26,077,000","21,821,234"
793,4,"Explore Vietnam Travel",945,"BK00000628","19,557,750","16,365,925"
794,4,"Explore Vietnam Travel",2622,"BK00002305","7,776,000","6,506,957"
795,4,"Explore Vietnam Travel",2970,"BK00002653","12,117,000","10,139,506"
796,4,"Explore Vietnam Travel",3132,"BK00002815","18,175,500","15,209,258"
797,4,"Explore Vietnam Travel",2351,"BK00002034","9,388,000","7,855,878"
798,4,"Explore Vietnam Travel",2346,"BK00002029","20,422,500","17,089,548"
799,4,"Explore Vietnam Travel",3130,"BK00002813","1,271,000","1,063,573"
800,4,"Explore Vietnam Travel",1191,"BK00000874","8,251,000","6,904,437"
801,4,"Explore Vietnam Travel",784,"BK00000467","8,749,750","7,321,791"
802,4,"Explore Vietnam Travel",448,"BK00000131","17,512,500","14,654,460"
803,4,"Explore Vietnam Travel",1285,"BK00000968","21,302,000","17,825,514"
804,4,"Explore Vietnam Travel",620,"BK00000303","10,304,000","8,622,387"
805,4,"Explore Vietnam Travel",1054,"BK00000737","15,408,750","12,894,042"
806,4,"Explore Vietnam Travel",2583,"BK00002266","23,450,000","19,622,960"
807,4,"Explore Vietnam Travel",980,"BK00000663","17,369,000","14,534,379"
808,4,"Explore Vietnam Travel",2230,"BK00001913","5,156,500","4,314,959"
809,4,"Explore Vietnam Travel",1979,"BK00001662","5,005,500","4,188,602"
810,4,"Explore Vietnam Travel",866,"BK00000549","21,765,000","18,212,952"
811,4,"Explore Vietnam Travel",2567,"BK00002250","12,117,000","10,139,506"
812,4,"Explore Vietnam Travel",928,"BK00000611","16,502,000","13,808,874"
813,4,"Explore Vietnam Travel",3281,"BK00002964","8,029,000","6,718,667"
814,4,"Explore Vietnam Travel",2553,"BK00002236","9,863,000","8,253,358"
815,4,"Explore Vietnam Travel",1058,"BK00000741","18,989,000","15,889,995"
816,4,"Explore Vietnam Travel",1288,"BK00000971","17,587,500","14,717,220"
817,4,"Explore Vietnam Travel",668,"BK00000351","14,964,000","12,521,875"
818,4,"Explore Vietnam Travel",2179,"BK00001862","14,510,000","12,141,968"
819,4,"Explore Vietnam Travel",985,"BK00000668","6,058,500","5,069,753"
820,4,"Explore Vietnam Travel",793,"BK00000476","15,408,750","12,894,042"
821,4,"Explore Vietnam Travel",2920,"BK00002603","11,933,000","9,985,534"
822,4,"Explore Vietnam Travel",2525,"BK00002208","17,587,500","14,717,220"
823,4,"Explore Vietnam Travel",3118,"BK00002801","2,167,000","1,813,346"
824,4,"Explore Vietnam Travel",1063,"BK00000746","15,056,000","12,598,861"
825,4,"Explore Vietnam Travel",2506,"BK00002189","8,251,000","6,904,437"
826,4,"Explore Vietnam Travel",2916,"BK00002599","19,716,000","16,498,349"
827,4,"Explore Vietnam Travel",1992,"BK00001675","11,735,000","9,819,848"
828,4,"Explore Vietnam Travel",1838,"BK00001521","4,125,500","3,452,218"
829,4,"Explore Vietnam Travel",1335,"BK00001018","6,162,500","5,156,780"
830,5,"Luxury Travel Experience",2082,"BK00001765","26,962,000","23,837,104"
831,5,"Luxury Travel Experience",2513,"BK00002196","14,152,500","12,512,225"
832,5,"Luxury Travel Experience",943,"BK00000626","11,172,000","9,877,165"
833,5,"Luxury Travel Experience",1911,"BK00001594","17,715,000","15,661,832"
834,5,"Luxury Travel Experience",2476,"BK00002159","1,772,000","1,566,625"
835,5,"Luxury Travel Experience",2197,"BK00001880","27,930,000","24,692,913"
836,5,"Luxury Travel Experience",486,"BK00000169","6,838,500","6,045,918"
837,5,"Luxury Travel Experience",2202,"BK00001885","27,293,000","24,129,741"
838,5,"Luxury Travel Experience",1248,"BK00000931","1,036,750","916,591"
839,5,"Luxury Travel Experience",1584,"BK00001267","4,412,000","3,900,649"
840,5,"Luxury Travel Experience",520,"BK00000203","7,609,000","6,727,117"
841,5,"Luxury Travel Experience",1353,"BK00001036","33,377,500","29,509,048"
842,5,"Luxury Travel Experience",3248,"BK00002931","20,067,000","17,741,235"
843,5,"Luxury Travel Experience",2408,"BK00002091","33,652,500","29,752,175"
844,5,"Luxury Travel Experience",669,"BK00000352","20,067,000","17,741,235"
845,5,"Luxury Travel Experience",1920,"BK00001603","5,967,500","5,275,867"
846,5,"Luxury Travel Experience",1350,"BK00001033","12,698,250","11,226,523"
847,5,"Luxury Travel Experience",1268,"BK00000951","19,746,500","17,457,881"
848,5,"Luxury Travel Experience",2376,"BK00002059","8,372,000","7,401,685"
849,5,"Luxury Travel Experience",1270,"BK00000953","2,685,250","2,374,030"
850,5,"Luxury Travel Experience",2214,"BK00001897","12,952,000","11,450,863"
851,5,"Luxury Travel Experience",688,"BK00000371","8,243,250","7,287,857"
852,5,"Luxury Travel Experience",1006,"BK00000689","11,397,500","10,076,530"
853,5,"Luxury Travel Experience",2356,"BK00002039","26,662,000","23,571,874"
854,5,"Luxury Travel Experience",1287,"BK00000970","18,418,750","16,284,017"
855,5,"Luxury Travel Experience",684,"BK00000367","25,964,000","22,954,772"
856,5,"Luxury Travel Experience",1600,"BK00001283","2,206,000","1,950,325"
857,5,"Luxury Travel Experience",1294,"BK00000977","7,409,000","6,550,297"
858,5,"Luxury Travel Experience",2338,"BK00002021","26,804,000","23,697,416"
859,5,"Luxury Travel Experience",892,"BK00000575","5,515,000","4,875,812"
860,5,"Luxury Travel Experience",1921,"BK00001604","20,067,000","17,741,235"
861,5,"Luxury Travel Experience",907,"BK00000590","7,199,000","6,364,636"
862,5,"Luxury Travel Experience",3265,"BK00002948","9,714,000","8,588,147"
863,5,"Luxury Travel Experience",1326,"BK00001009","5,133,750","4,538,748"
864,5,"Luxury Travel Experience",2279,"BK00001962","16,383,000","14,484,210"
865,5,"Luxury Travel Experience",2276,"BK00001959","27,930,000","24,692,913"
866,5,"Luxury Travel Experience",2273,"BK00001956","9,804,500","8,668,158"
867,5,"Luxury Travel Experience",2272,"BK00001955","6,838,500","6,045,918"
868,5,"Luxury Travel Experience",509,"BK00000192","27,840,000","24,613,344"
869,5,"Luxury Travel Experience",3304,"BK00002987","12,698,250","11,226,523"
870,5,"Luxury Travel Experience",1922,"BK00001605","8,857,500","7,830,916"
871,5,"Luxury Travel Experience",1817,"BK00001500","11,098,500","9,812,184"
872,5,"Luxury Travel Experience",1493,"BK00001176","1,756,000","1,552,480"
873,5,"Luxury Travel Experience",1944,"BK00001627","2,206,000","1,950,325"
874,5,"Luxury Travel Experience",1604,"BK00001287","10,033,500","8,870,617"
875,5,"Luxury Travel Experience",3021,"BK00002704","9,714,000","8,588,147"
876,5,"Luxury Travel Experience",604,"BK00000287","5,875,500","5,194,530"
877,5,"Luxury Travel Experience",822,"BK00000505","19,628,000","17,353,115"
878,5,"Luxury Travel Experience",386,"BK00000069","1,958,500","1,731,510"
879,5,"Luxury Travel Experience",1035,"BK00000718","27,930,000","24,692,913"
880,5,"Luxury Travel Experience",2987,"BK00002670","23,918,000","21,145,904"
881,5,"Luxury Travel Experience",1962,"BK00001645","20,826,000","18,412,267"
882,5,"Luxury Travel Experience",1039,"BK00000722","3,309,000","2,925,487"
883,5,"Luxury Travel Experience",2978,"BK00002661","16,794,000","14,847,575"
884,5,"Luxury Travel Experience",1041,"BK00000724","13,884,000","12,274,844"
885,5,"Luxury Travel Experience",2976,"BK00002659","886,000","783,313"
886,5,"Luxury Travel Experience",2973,"BK00002656","22,392,000","19,796,767"
887,5,"Luxury Travel Experience",1484,"BK00001167","3,624,500","3,204,420"
888,5,"Luxury Travel Experience",2972,"BK00002655","14,668,750","12,968,642"
889,5,"Luxury Travel Experience",1975,"BK00001658","2,073,500","1,833,181"
890,5,"Luxury Travel Experience",2952,"BK00002635","4,187,000","3,701,727"
891,5,"Luxury Travel Experience",1052,"BK00000735","2,747,750","2,429,286"
892,5,"Luxury Travel Experience",597,"BK00000280","22,392,000","19,796,767"
893,5,"Luxury Travel Experience",1057,"BK00000740","27,643,000","24,439,176"
894,5,"Luxury Travel Experience",1826,"BK00001509","11,172,000","9,877,165"
895,5,"Luxury Travel Experience",1982,"BK00001665","15,198,000","13,436,552"
896,5,"Luxury Travel Experience",2918,"BK00002601","1,648,500","1,457,439"
897,5,"Luxury Travel Experience",647,"BK00000330","11,196,000","9,898,384"
898,5,"Luxury Travel Experience",1464,"BK00001147","5,495,500","4,858,572"
899,5,"Luxury Travel Experience",2894,"BK00002577","12,362,500","10,929,686"
900,5,"Luxury Travel Experience",2018,"BK00001701","12,698,250","11,226,523"
901,5,"Luxury Travel Experience",1457,"BK00001140","5,867,500","5,187,457"
902,5,"Luxury Travel Experience",402,"BK00000085","12,137,500","10,730,764"
903,5,"Luxury Travel Experience",404,"BK00000087","12,698,250","11,226,523"
904,5,"Luxury Travel Experience",1087,"BK00000770","4,428,750","3,915,458"
905,5,"Luxury Travel Experience",1749,"BK00001432","5,598,000","4,949,192"
906,5,"Luxury Travel Experience",1091,"BK00000774","17,788,500","15,726,813"
907,5,"Luxury Travel Experience",2859,"BK00002542","2,279,500","2,015,306"
908,5,"Luxury Travel Experience",548,"BK00000231","5,967,500","5,275,867"
909,5,"Luxury Travel Experience",542,"BK00000225","11,959,000","10,572,952"
910,5,"Luxury Travel Experience",1097,"BK00000780","3,544,000","3,133,250"
911,5,"Luxury Travel Experience",1639,"BK00001322","2,354,500","2,081,613"
912,5,"Luxury Travel Experience",1699,"BK00001382","3,544,000","3,133,250"
913,5,"Luxury Travel Experience",1846,"BK00001529","26,962,000","23,837,104"
914,5,"Luxury Travel Experience",951,"BK00000634","21,163,750","18,710,871"
915,5,"Luxury Travel Experience",780,"BK00000463","17,290,000","15,286,089"
916,5,"Luxury Travel Experience",3188,"BK00002871","3,309,000","2,925,487"
917,5,"Luxury Travel Experience",2791,"BK00002474","6,491,000","5,738,693"
918,5,"Luxury Travel Experience",1116,"BK00000799","2,654,500","2,346,843"
919,5,"Luxury Travel Experience",1855,"BK00001538","6,476,000","5,725,432"
920,5,"Luxury Travel Experience",2784,"BK00002467","10,493,000","9,276,861"
921,5,"Luxury Travel Experience",1120,"BK00000803","12,362,500","10,929,686"
922,5,"Luxury Travel Experience",1121,"BK00000804","2,048,500","1,811,079"
923,5,"Luxury Travel Experience",2771,"BK00002454","28,305,000","25,024,451"
924,5,"Luxury Travel Experience",2090,"BK00001773","11,196,000","9,898,384"
925,5,"Luxury Travel Experience",349,"BK00000032","22,344,000","19,754,330"
926,5,"Luxury Travel Experience",1858,"BK00001541","13,684,000","12,098,024"
927,5,"Luxury Travel Experience",2761,"BK00002444","34,575,000","30,567,758"
928,5,"Luxury Travel Experience",1420,"BK00001103","27,565,000","24,370,216"
929,5,"Luxury Travel Experience",1532,"BK00001215","4,559,000","4,030,612"
930,5,"Luxury Travel Experience",3167,"BK00002850","9,118,000","8,061,224"
931,5,"Luxury Travel Experience",2735,"BK00002418","4,559,000","4,030,612"
932,5,"Luxury Travel Experience",2724,"BK00002407","20,067,000","17,741,235"
933,5,"Luxury Travel Experience",2720,"BK00002403","1,772,000","1,566,625"
934,5,"Luxury Travel Experience",899,"BK00000582","4,280,000","3,783,948"
935,5,"Luxury Travel Experience",1880,"BK00001563","9,792,500","8,657,549"
936,5,"Luxury Travel Experience",936,"BK00000619","5,967,500","5,275,867"
937,5,"Luxury Travel Experience",1394,"BK00001077","13,481,000","11,918,552"
938,5,"Luxury Travel Experience",429,"BK00000112","33,702,500","29,796,380"
939,5,"Luxury Travel Experience",431,"BK00000114","13,186,250","11,657,964"
940,5,"Luxury Travel Experience",706,"BK00000389","21,163,750","18,710,871"
941,5,"Luxury Travel Experience",1890,"BK00001573","14,706,750","13,002,238"
942,5,"Luxury Travel Experience",935,"BK00000618","8,243,250","7,287,857"
943,5,"Luxury Travel Experience",1165,"BK00000848","1,036,750","916,591"
944,5,"Luxury Travel Experience",2679,"BK00002362","24,375,000","21,549,938"
945,5,"Luxury Travel Experience",1391,"BK00001074","16,744,000","14,803,370"
946,5,"Luxury Travel Experience",1387,"BK00001070","4,727,250","4,179,362"
947,5,"Luxury Travel Experience",435,"BK00000118","19,434,000","17,181,599"
948,5,"Luxury Travel Experience",1175,"BK00000858","16,931,000","14,968,697"
949,5,"Luxury Travel Experience",2637,"BK00002320","12,362,500","10,929,686"
950,5,"Luxury Travel Experience",2630,"BK00002313","8,165,500","7,219,119"
951,5,"Luxury Travel Experience",838,"BK00000521","7,599,000","6,718,276"
952,5,"Luxury Travel Experience",2147,"BK00001830","22,143,750","19,577,289"
953,5,"Luxury Travel Experience",1187,"BK00000870","21,944,000","19,400,690"
954,5,"Luxury Travel Experience",2148,"BK00001831","11,935,000","10,551,734"
955,5,"Luxury Travel Experience",2157,"BK00001840","11,172,000","9,877,165"
956,5,"Luxury Travel Experience",1377,"BK00001060","2,658,000","2,349,938"
957,5,"Luxury Travel Experience",365,"BK00000048","22,674,000","20,046,083"
958,5,"Luxury Travel Experience",1517,"BK00001200","3,544,000","3,133,250"
959,5,"Luxury Travel Experience",1900,"BK00001583","5,495,500","4,858,572"
960,5,"Luxury Travel Experience",2561,"BK00002244","16,758,000","14,815,748"
961,5,"Luxury Travel Experience",749,"BK00000432","8,465,500","7,484,349"
962,5,"Luxury Travel Experience",2176,"BK00001859","10,568,000","9,343,169"
963,5,"Luxury Travel Experience",984,"BK00000667","9,792,500","8,657,549"
964,5,"Luxury Travel Experience",2534,"BK00002217","4,186,000","3,700,843"
965,5,"Luxury Travel Experience",2526,"BK00002209","4,412,000","3,900,649"
966,5,"Luxury Travel Experience",2180,"BK00001863","30,906,250","27,324,216"
967,6,"Beach Paradise Travel",2129,"BK00001812","19,200,000","16,320,000"
968,6,"Beach Paradise Travel",1761,"BK00001444","7,224,000","6,140,400"
969,6,"Beach Paradise Travel",1759,"BK00001442","18,294,000","15,549,900"
970,6,"Beach Paradise Travel",1750,"BK00001433","3,104,750","2,639,038"
971,6,"Beach Paradise Travel",1745,"BK00001428","3,594,000","3,054,900"
972,6,"Beach Paradise Travel",788,"BK00000471","4,305,000","3,659,250"
973,6,"Beach Paradise Travel",3243,"BK00002926","5,069,500","4,309,075"
974,6,"Beach Paradise Travel",3242,"BK00002925","19,359,000","16,455,150"
975,6,"Beach Paradise Travel",1606,"BK00001289","3,695,000","3,140,750"
976,6,"Beach Paradise Travel",605,"BK00000288","3,011,000","2,559,350"
977,6,"Beach Paradise Travel",607,"BK00000290","1,806,000","1,535,100"
978,6,"Beach Paradise Travel",1652,"BK00001335","2,295,750","1,951,388"
979,6,"Beach Paradise Travel",3311,"BK00002994","4,692,500","3,988,625"
980,6,"Beach Paradise Travel",968,"BK00000651","20,880,000","17,748,000"
981,6,"Beach Paradise Travel",3159,"BK00002842","11,144,250","9,472,613"
982,6,"Beach Paradise Travel",3309,"BK00002992","8,287,500","7,044,375"
983,6,"Beach Paradise Travel",978,"BK00000661","5,220,000","4,437,000"
984,6,"Beach Paradise Travel",987,"BK00000670","8,607,000","7,315,950"
985,6,"Beach Paradise Travel",997,"BK00000680","4,147,500","3,525,375"
986,6,"Beach Paradise Travel",3092,"BK00002775","3,475,000","2,953,750"
987,6,"Beach Paradise Travel",3073,"BK00002756","4,942,500","4,201,125"
988,6,"Beach Paradise Travel",3209,"BK00002892","16,614,500","14,122,325"
989,6,"Beach Paradise Travel",742,"BK00000425","25,812,000","21,940,200"
990,6,"Beach Paradise Travel",378,"BK00000061","3,400,000","2,890,000"
991,6,"Beach Paradise Travel",3048,"BK00002731","3,703,500","3,147,975"
992,6,"Beach Paradise Travel",3046,"BK00002729","10,408,750","8,847,438"
993,6,"Beach Paradise Travel",3023,"BK00002706","6,209,500","5,278,075"
994,6,"Beach Paradise Travel",385,"BK00000068","19,200,000","16,320,000"
995,6,"Beach Paradise Travel",3012,"BK00002695","15,660,000","13,311,000"
996,6,"Beach Paradise Travel",2948,"BK00002631","5,809,500","4,938,075"
997,6,"Beach Paradise Travel",2947,"BK00002630","7,429,500","6,315,075"
998,6,"Beach Paradise Travel",396,"BK00000079","9,810,000","8,338,500"
999,6,"Beach Paradise Travel",2932,"BK00002615","4,053,500","3,445,475"
1000,6,"Beach Paradise Travel",2915,"BK00002598","10,960,000","9,316,000"
1001,6,"Beach Paradise Travel",2891,"BK00002574","4,391,500","3,732,775"
1002,6,"Beach Paradise Travel",1076,"BK00000759","2,912,500","2,475,625"
1003,6,"Beach Paradise Travel",1088,"BK00000771","9,600,000","8,160,000"
1004,6,"Beach Paradise Travel",2832,"BK00002515","15,660,000","13,311,000"
1005,6,"Beach Paradise Travel",1102,"BK00000785","16,651,250","14,153,562"
1006,6,"Beach Paradise Travel",877,"BK00000560","19,257,250","16,368,663"
1007,6,"Beach Paradise Travel",2818,"BK00002501","6,950,000","5,907,500"
1008,6,"Beach Paradise Travel",2805,"BK00002488","7,165,000","6,090,250"
1009,6,"Beach Paradise Travel",1112,"BK00000795","3,457,000","2,938,450"
1010,6,"Beach Paradise Travel",918,"BK00000601","3,500,250","2,975,213"
1011,6,"Beach Paradise Travel",761,"BK00000444","1,855,000","1,576,750"
1012,6,"Beach Paradise Travel",1122,"BK00000805","22,442,500","19,076,125"
1013,6,"Beach Paradise Travel",3296,"BK00002979","4,994,500","4,245,325"
